"ID","name","category","type"
"n2","AliBeckZeck","Anti-vaxxer","individual"
"n3","and_kell","Anti-vaxxer","individual"
"n4","avoiceforchoice","Anti-vaxxer","organization"
"n5","BardsFM","Anti-vaxxer","organization"
"n6","Believe_Mothers","Anti-vaxxer","organization"
"n7","BusyDrT","Anti-vaxxer","individual"
"n8","CaliVaxChoice","Anti-vaxxer","organization"
"n9","CasparKashkin","Anti-vaxxer","individual"
"n10","ceestave","Anti-vaxxer","individual"
"n11","Chena_Punim","Anti-vaxxer","individual"
"n12","ChildrensHD","Anti-vaxxer","organization"
"n13","childrensmarch4","Anti-vaxxer","individual"
"n14","chris_moyler","Anti-vaxxer","individual"
"n15","circleofmamas","Anti-vaxxer","organization"
"n16","Crazymothers1","Anti-vaxxer","organization"
"n17","dad_liams","Anti-vaxxer","individual"
"n18","davebrooker322","Anti-vaxxer","individual"
"n19","debnantz","Anti-vaxxer","individual"
"n20","delbigtree","Anti-vaxxer","individual"
"n21","DemocratFed","Anti-vaxxer","individual"
"n22","DrKND","Anti-vaxxer","individual"
"n23","DrTessaT","Anti-vaxxer","individual"
"n24","EpigeneticWhisp","Anti-vaxxer","organization"
"n25","EVaccines","Anti-vaxxer","organization"
"n26","exvaxxxer","Anti-vaxxer","individual"
"n27","flick4freedom","Anti-vaxxer","individual"
"n28","GAVaccineChoice","Anti-vaxxer","organization"
"n29","HealthyNews2day","Anti-vaxxer","organization"
"n30","HFIdaho","Anti-vaxxer","organization"
"n31","HighWireTalk","Anti-vaxxer","organization"
"n32","Hollysstory1","Anti-vaxxer","individual"
"n33","HPVSideEffects","Anti-vaxxer","organization"
"n34","ICANdecide","Anti-vaxxer","organization"
"n35","InsideVaccines","Anti-vaxxer","organization"
"n36","JeffereyJaxen","Anti-vaxxer","individual"
"n37","Juanita87722370","Anti-vaxxer","individual"
"n38","Just4TheCause","Anti-vaxxer","individual"
"n39","justiceforevee","Anti-vaxxer","individual"
"n40","kuriousmind93","Anti-vaxxer","individual"
"n41","LeahDurantLaw","Anti-vaxxer","individual"
"n42","learntherisk","Anti-vaxxer","organization"
"n43","Lex55747486","Anti-vaxxer","individual"
"n44","LotusOak2","Anti-vaxxer","organization"
"n45","MaineVaxChoice","Anti-vaxxer","organization"
"n46","MarkVaccines","Anti-vaxxer","individual"
"n47","MaryamHenein","Anti-vaxxer","individual"
"n48","MaryJo__Perry","Anti-vaxxer","individual"
"n49","Marzo_luna_","Anti-vaxxer","individual"
"n50","med1cinewoman","Anti-vaxxer","individual"
"n51","melishadooley","Anti-vaxxer","individual"
"n52","MelissaRaeToro1","Anti-vaxxer","individual"
"n53","MI4VaxChoice","Anti-vaxxer","organization"
"n54","nocompulsoryvac","Anti-vaxxer","organization"
"n55","Novaccineforce","Anti-vaxxer","organization"
"n56","Nurse4freedom","Anti-vaxxer","individual"
"n57","Pamira_Bezmen","Anti-vaxxer","individual"
"n58","picphysicians","Anti-vaxxer","organization"
"n59","PlumRemson","Anti-vaxxer","individual"
"n60","RebeccaChandle1","Anti-vaxxer","individual"
"n61","Rebekah60291919","Anti-vaxxer","individual"
"n62","REGRET_ie","Anti-vaxxer","organization"
"n63","RitaBrosnan","Anti-vaxxer","individual"
"n64","RJM20","Anti-vaxxer","individual"
"n65","RobertKennedyJr","Anti-vaxxer","individual"
"n66","rsbellmedia","Anti-vaxxer","individual"
"n67","SadakaAssoc","Anti-vaxxer","organization"
"n68","sallyKP","Anti-vaxxer","individual"
"n69","science_cited","Anti-vaxxer","individual"
"n70","SNCCLA","Anti-vaxxer","individual"
"n71","stevescrutton","Anti-vaxxer","individual"
"n72","stopvaccinating","Anti-vaxxer","individual"
"n73","tabbyday","Anti-vaxxer","individual"
"n74","TeddyFreddy11","Anti-vaxxer","individual"
"n75","TexasMFA","Anti-vaxxer","organization"
"n76","TN4VaxChoice","Anti-vaxxer","organization"
"n77","truthlovingdr","Anti-vaxxer","individual"
"n78","truthvaxwarrior","Anti-vaxxer","individual"
"n79","TTAVOfficial","Anti-vaxxer","organization"
"n80","UnitedForChoice","Anti-vaxxer","organization"
"n81","US4MF","Anti-vaxxer","organization"
"n82","uTobian","Anti-vaxxer","individual"
"n83","vaccinationmyth","Anti-vaxxer","organization"
"n84","VaccineInjury","Anti-vaxxer","organization"
"n85","vaccinepapers","Anti-vaxxer","organization"
"n86","VaccineReaction","Anti-vaxxer","organization"
"n87","vaxreactions","Anti-vaxxer","individual"
"n88","vaxstudy","Anti-vaxxer","organization"
"n89","vaxxedthemovie","Anti-vaxxer","individual"
"n90","VialNews","Anti-vaxxer","organization"
"n91","WakeTheFlockUp6","Anti-vaxxer","individual"
"n92","waynerohde","Anti-vaxxer","individual"
"n93","weaponizedword1","Anti-vaxxer","individual"
"n94","wontfoolmetwice","Anti-vaxxer","individual"
"n95","yattypat","Anti-vaxxer","individual"
"n96","yesmaam74","Anti-vaxxer","organization"
"n97","NVICLoeDown","Anti-vaxxer","organization"
"n98","VaccineResist","Anti-vaxxer","organization"
"n99","VACTRUTH","Anti-vaxxer","organization"
